1955 NBA draft
Adolph Rupp
Alan Williams (basketball)
Anthony Bonner
Artis Gilmore
Artsiom Parakhouski
Bill Hannon
Blake Griffin
Bob Pelkington
Boo Ellis
Boston Celtics
Brandon Hunter
Charlie Slack
Chris Marcus
Darren Phillip
Darryl Watson
David Robinson
Devontae Cacok
Dick Cunningham
Ed Conlin
Egidijus Mockevičius
Elgin Baylor
Shaquille O'Neal
