2016 NBA draft
Alan Williams (basketball)
Anthony Bonner
Art Quimby
Artis Gilmore
Artsiom Parakhouski
Basketball
Bill Hannon
Blake Griffin
Bob Pelkington
Boo Ellis
Brandon Hunter
Charlie Slack
Chris Marcus
Darren Phillip
Darryl Watson
David Robinson
Devontae Cacok
Dick Cunningham
Ed Conlin
Elgin Baylor
Missouri Valley Conference
Shaquille O'Neal
